Kieserite,True,
Kinoite,True,
Kleinite,True,
Knebelite,True,
Knorringite,True,
Kobellite,True,
Kochite,True,
Kogarkoite,True,
Kolbeckite,True,
Kornerupine,True,
Kosmochlor,True,
Kostovite,True,
Köttigite,True,
Kovdorskite,True,
Kratochvílite,True,
Kremersite,True,
Krennerite,True,
Krieselite,True,
Kröhnkite,True,
Krotite,True,
Krut'aite,True,
Krutovite,True,
Kukharenkoite-(Ce),True,
Kuratite,True,
Kurnakovite,True,
Kutnohorite,True,
Kyanite,True,
Keilhauite,False,(variety of titanite)
Kerolite,False,(variety of talc)
Krantzite,False,(natural resin)
Kunzite,False,(variety of spodumene)
Labradorite,True,
Lanarkite,True,
Langbeinite,True,
Langite,True,
Lansfordite,True,
Lanthanite (group of rare earth carbonates),True,
Laplandite-(Ce),True,
Larnite,True,
Laumontite,True,
Laurionite,True,
Laurite,True,
Lautite,True,
Lavendulan,True,
Lawsonite,True,
Lazulite,True,
Lazurite,True,
Lead,True,
Leadhillite,True,
Legrandite,True,
Leifite,True,
Leightonite,True,
Lepidocrocite,True,
Lepidolite,True,
Letovicite,True,
Leucite,True,
Leucophanite,True,
Leucophoenicite,True,
Lévyne (series of zeolites),True,
Libethenite,True,
Liebigite,True,
Linarite,True,
Lindgrenite,True,
Linnaeite,True,
Lipscombite,True,
Liroconite,True,
Litharge,True,
Lithiophilite,True,
Livingstonite,True,
Lizardite,True,
Loellingite,True,
Lonsdaleite,True,
Loparite-(Ce),True,
Lópezite,True,
Lorándite,True,
Lorenzenite,True,
Loveringite,True,
Ludlamite,True,
Ludwigite,True,
Lulzacite,True,
Lyonsite,True,
Larimar,False,(blue variety of [[pectolite)
Lechatelierite,False,(fused quartz glass)
Lignite,False,(a type of coal)
Limonite,False,(a mineraloid)
Lodestone,False,(a synonym of magnetite)
Lublinite,False,(variety of calcite)
Macaulayite,True,
Macdonaldite,True,
Mackinawite,True,
Madocite,True,
Magadiite,True,
Maghemite,True,
Magnesioferrite,True,
Magnesiohastingsite,True,
Magnesiopascoite,True,
Magnesite,True,
Magnetite,True,
Majorite,True,
Malachite,True,
Malayaite,True,
Manganite,True,
Manganosite,True,
Manganvesuvianite,True,
Marcasite,True,
Margaritasite,True,
Margarite,True,
Marialite,True,
Maricite,True,
Marrite,True,
Marthozite,True,
Mascagnite,True,
Massicot,True,
Masuyite,True,
Mathesiusite,True,
Matlockite,True,
Maucherite,True,
Mawsonite,True,
Mckelveyite-(Y),True,
Meionite,True,
Melanophlogite,True,
Melanterite,True,
Melilite,True,
Mellite,True,
Melonite,True,
Mendipite,True,
Mendozite,True,
Meneghinite,True,
Mercury,True,
Mereheadite,True,
Merenskyite,True,
Meridianiite,True,
Merrillite,True,
Mesolite,True,
Messelite,True,
Metacinnabar,True,
Metatorbernite,True,
Metazeunerite,True,
Meyerhofferite,True,
Miargyrite,True,
Mica (a group of silicate minerals),True,
Microcline,True,
Microlite,True,
Millerite,True,
Millosevichite,True,
Mimetite,True,
Minium,True,
Minnesotaite,True,
Minyulite,True,
Mirabilite,True,
Mixite,True,
Moganite,True,
Mohite,True,
Mohrite,True,
Moissanite,True,
Molybdenite,True,
Molybdite,True,
Monazite,True,
Monohydrocalcite,True,
Monticellite,True,
Montmorillonite (clay mineral),True,
Mooihoekite,True,
Moolooite,True,
Mordenite,True,
Moschellandsbergite,True,
Mosesite,True,
Mottramite,True,
Motukoreaite,True,
Mullite,True,
Mundite,True,
Murdochite,True,
Muscovite,True,
Musgravite,True,
Magnesia (mineral),False,()
Magnesiocummingtonite,False,(magnesium-rich variety of cummingtonite)
Malacolite,False,(synonym of diopside)
Manganocolumbite,False,(synonym of columbite-(Mn))
Manganotantalite,False,(synonym of tantalite-(Mn))
Mariposite,False,(variety of phengite/muscovite)
Meerschaum,False, (variety of sepiolite)
Melanite,False,(variety of andradite)
Menilite,False,(variety of opal)
Milky quartz,False,(a cloudy white quartz)
Morganite,False,(a pink beryl)
Nabalamprophyllite,True,
Nabesite,True,
Nacrite,True,
Nadorite,True,
Nagyágite,True,
Nahcolite,True,
Naldrettite,True,
Nambulite,True,
Narsarsukite,True,
Native copper,True,
Natrolite,True,
Natron,True,
Natrophilite,True,
Nekrasovite,True,
Nelenite,True,
Nenadkevichite,True,
Nepheline,True,
Népouite,True,
Neptunite,True,
Nichromite,True,
Nickel,True,
Nickeline,True,
Niedermayrite,True,
Niningerite,True,
Nissonite,True,
Niter,True,
Nitratine,True,
Nobleite,True,
Nontronite,True,
Norbergite,True,
Normandite,True,
Northupite,True,
