,49.8753117207,10.35,K3          ,1.033
 ,125.313283208,5.13,B7III-IV    ,-0.128
,227.7904328018,8.96,A9V         ,0.306
,-1,8.49,K5          ,1.569
 ,43.630017452,11.26,K3          ,0.932
,236.9668246446,8.15,F8          ,0.584
 ,133.3333333333,7.04,K1III       ,1.06
,180.5054151625,8.9,F8          ,0.459
,132.2751322751,7.78,F3IV...     ,0.411
 ,127.2264631043,4.37,M3III       ,1.631
,323.6245954693,8.6,B8V         ,0.1
,145.5604075691,8.51,G5          ,0.903
,142.2475106686,7.09,K0III       ,0.999
,59.1016548463,6.93,A3          ,0.292
,483.0917874396,8.68,B9V         ,-0.052
,420.1680672269,8.98,K5          ,1.5
,342.4657534247,8.98,A3V         ,0.107
,226.7573696145,7.98,G9III       ,0.97
,105.7082452431,8.86,G3V         ,0.66
,285.7142857143,8.58,B9          ,0.06
 ,15.8654608916,9.24,M0V         ,1.39
 ,12.4023316383,5.8,G3V         ,0.69
,763.358778626,8.45,A2          ,0.248
,257.0694087404,8.86,G9II-III    ,1.035
,251.256281407,7.84,G5          ,0.923
,261.780104712,8.86,K0          ,0.53
,182.8153564899,8.93,A1m...      ,0.172
,110.8647450111,7.97,F7V         ,0.556
,67.0690811536,6.9,G0V         ,0.534
,357.1428571429,8.47,K0          ,1.171
,398.406374502,6.77,M0          ,1.832
,301.2048192771,8.55,K0          ,1.004
 ,156.25,5.04,B4V         ,-0.15
,33.6134453782,8.48,K0          ,0.888
,85.1788756388,8.53,F8          ,0.53
 ,132.4503311258,6.33,A6V         ,0.182
,149.4768310912,8.99,G0          ,0.5
,95.328884652,8.64,F5          ,0.488
,95.5109837631,8.74,G0          ,0.57
,43.5161009574,12.43,M3          ,1.49
,302.1148036254,8.16,G5          ,1.032
 ,37.6931775349,5.7,F0V         ,0.315
,123.7623762376,7.62,F8          ,0.517
,1020.4081632653,8.95,K5          ,1.677
,617.2839506173,8.97,K0          ,0.952
,195.3125,8.94,A0          ,0.276
,245.7002457002,7.24,A0          ,0.074
,99.4035785288,8.24,F5          ,0.474
,384.6153846154,8.62,F0          ,0.303
,395.256916996,8.53,K3III       ,1.274
,113.1221719457,8.54,F2          ,0.384
,107.2961373391,8.56,G0          ,0.436
 ,636.9426751592,5.87,G8III       ,1.073
,-1,7.2,A2V         ,0.085
,128.2051282051,7.7,G5          ,1.003
,297.619047619,8.17,A3          ,0.29
